C1	-16.48	-6.22	0.00	100uf	B/3528-21R
C10	22.40	24.60	90.00	10uF	C0805
C12	-9.64	24.46	270.00	0.1uf	C0805
C14	-22.63	17.80	180.00	10uf	B/3528-21W
C15	-12.85	24.82	90.00	10uf	B/3528-21W
C16	-16.96	24.80	90.00	28uf	153CLV-0405
C17	-22.18	24.86	90.00	28uf	153CLV-0405
C6	-16.89	-12.51	90.00	10uf	C0805
C7	-19.51	-12.44	90.00	0.1uf	C0805
C8	-20.81	-16.66	270.00	10uf	C0805
C9	-23.19	-16.67	270.00	0.1uf	C0805
D2	-27.40	15.00	270.00	RED	LED-0603
D3	-29.20	15.20	270.00	BLUE	LED-0603
J1	20.48	-21.46	47.70	52745-2690	52745-2690
L1	-16.33	10.78	270.00	22uH	DR74
R1	3.76	3.73	312.20	10k	R0805
R15	-10.20	9.60	90.00	100k	M0805
R16	-24.52	13.08	180.00	1k	M0805
R21	26.80	20.80	90.00	10k	R0805
R23	-24.58	10.68	180.00	1k	M0805
R25	-15.03	18.16	270.00	10k	RTRIM4G/J
R26	-22.28	20.33	180.00	1k	M0805
R7	11.68	5.43	42.80		R0805
R8	13.45	3.58	43.50		R0805
RN1	15.20	15.80	90.00	220	0603-ARV
RN2	15.20	11.80	90.00	220	0603-ARV
RN3	23.00	11.20	180.00	220	0603-ARV
RN4	12.60	29.00	180.00	10k	CTS742C083
RN5	16.40	28.80	180.00	10k	CTS742C083
U2	12.51	-13.91	227.30	ESP32-WROOM-32U	XCVR_ESP32-WROOM-32U
U3	21.20	17.00	0.00	PCA9685BS,118	QFN65P600X600X100-29N
